user_id,book_id,age,browsing_time_sec,added_to_cart,book_genre,past_purchase_history,num_books_bought,avg_rating_given,will_buy
user_1,book_961,31,145,No,Sci-fi,Moderate,10,3.1,0
user_2,book_2841,59,201,No,Sci-fi,None,12,1.9,0
user_3,book_1111,18,385,No,History,Few,13,2.4,0
user_4,book_569,31,153,No,Biography,None,17,4.0,0
user_5,book_458,42,270,No,Romance,Few,6,4.5,0
user_6,book_1449,40,424,Yes,Non-fiction,None,18,2.2,1
user_7,book_1657,54,163,No,Romance,None,0,4.7,0
user_8,book_580,20,42,No,Sci-fi,Frequent,14,1.8,0
user_9,book_794,48,128,No,Romance,Frequent,19,3.9,0
user_10,book_1391,19,423,No,Non-fiction,Few,3,3.1,0
user_11,book_1066,26,453,No,Non-fiction,Frequent,13,2.4,1
user_12,book_620,67,453,No,Sci-fi,Frequent,10,1.5,1
user_13,book_987,34,507,Yes,Biography,None,3,2.7,1
user_14,book_1241,69,207,No,Biography,Moderate,15,1.2,0
user_15,book_2972,64,33,No,Non-fiction,Moderate,2,2.9,0
user_16,book_2196,24,61,Yes,Romance,None,8,4.6,1
user_17,book_2264,58,50,No,Biography,Few,2,1.7,0
user_18,book_445,62,378,No,History,Frequent,7,1.8,1
user_19,book_596,33,295,Yes,Biography,Moderate,0,2.8,1
user_20,book_2338,49,72,Yes,Fiction,None,8,2.8,1
user_21,book_1114,39,295,No,Sci-fi,Frequent,18,3.4,0
user_22,book_440,42,435,No,Non-fiction,Frequent,14,2.4,1
user_23,book_862,30,114,No,Fantasy,None,8,4.0,0
user_24,book_1953,30,183,No,Sci-fi,None,11,1.6,0
user_25,book_2895,21,161,No,Mystery,Moderate,9,5.0,1
user_26,book_1643,36,243,No,Biography,None,8,2.5,0
user_27,book_1921,35,391,Yes,Non-fiction,None,4,1.1,1
user_28,book_1084,19,166,Yes,Romance,None,3,3.9,0
user_29,book_2640,22,426,Yes,Fantasy,Frequent,3,2.6,1
user_30,book_2471,49,404,No,Mystery,Frequent,12,4.3,1
user_31,book_2096,66,393,Yes,Non-fiction,Moderate,12,1.8,1
user_32,book_2590,42,599,No,History,Moderate,19,4.1,1
user_33,book_1031,42,11,No,Romance,Moderate,7,3.7,0
user_34,book_1200,51,538,No,History,Frequent,3,5.0,1
user_35,book_2295,24,389,No,Fantasy,Moderate,3,4.6,1
user_36,book_2289,32,542,Yes,Sci-fi,Moderate,13,2.3,1
user_37,book_2034,45,442,No,History,None,8,2.8,0
user_38,book_2811,29,536,No,Non-fiction,Few,16,2.7,0
user_39,book_998,56,455,No,Fantasy,None,15,1.7,0
user_40,book_2948,69,443,No,Mystery,Frequent,15,2.4,1
user_41,book_2402,48,199,No,Sci-fi,Moderate,13,4.9,1
user_42,book_2936,22,61,Yes,Fiction,Few,5,2.1,0
user_43,book_2333,68,164,No,Mystery,None,18,2.7,0
user_44,book_990,49,440,No,History,Moderate,19,3.2,1
user_45,book_2352,19,585,No,Sci-fi,None,11,3.8,0
user_46,book_690,23,350,No,Romance,None,14,3.4,0
user_47,book_2015,38,53,Yes,History,Frequent,17,4.8,1
user_48,book_1115,68,493,No,Biography,Frequent,2,2.1,0
user_49,book_978,30,371,No,History,Few,1,4.0,0
user_50,book_2801,36,237,No,Fiction,None,15,4.3,0
user_51,book_2417,68,41,No,Sci-fi,Moderate,15,2.1,0
user_52,book_130,20,230,Yes,Romance,None,16,1.7,1
user_53,book_1780,28,247,No,Non-fiction,Few,6,1.7,0
user_54,book_2203,28,576,No,Fantasy,Few,0,2.6,0
user_55,book_1423,48,143,No,Biography,Frequent,17,3.5,0
user_56,book_1453,60,200,Yes,Fiction,Frequent,9,4.1,1
user_57,book_1418,43,312,No,Biography,Moderate,0,4.3,1
user_58,book_2990,41,248,Yes,Sci-fi,Frequent,11,1.8,1
user_59,book_1628,65,211,No,Mystery,None,19,1.3,0
user_60,book_770,51,146,No,Fiction,Moderate,6,1.9,0
user_61,book_34,29,120,No,History,Frequent,4,1.6,0
user_62,book_1565,44,173,No,Fantasy,Frequent,15,3.6,0
user_63,book_2544,65,584,No,Non-fiction,Frequent,2,1.3,0
user_64,book_2199,57,275,No,Mystery,Moderate,4,2.4,0
user_65,book_2034,45,542,No,History,Frequent,5,3.8,0
user_66,book_1758,51,180,No,Biography,Moderate,4,5.0,0
user_67,book_645,60,397,No,Non-fiction,None,1,1.3,0
user_68,book_1577,30,397,No,Non-fiction,Few,3,3.2,0
user_69,book_835,51,571,No,Fantasy,None,9,1.1,0
user_70,book_2151,27,74,No,Mystery,Moderate,2,1.2,0
user_71,book_1141,53,376,No,Fantasy,None,16,3.0,0
user_72,book_2328,52,409,Yes,History,Moderate,4,1.9,1
user_73,book_2751,28,332,No,Mystery,Moderate,9,2.2,1
user_74,book_937,40,146,No,Biography,Few,7,4.0,0
user_75,book_2217,23,341,Yes,Biography,Few,19,1.6,1
user_76,book_655,58,228,Yes,Mystery,Frequent,3,1.0,1
user_77,book_510,51,243,No,Mystery,Few,17,4.3,0
user_78,book_2827,66,273,Yes,Romance,None,19,1.2,1
user_79,book_2681,63,294,No,Non-fiction,Few,16,4.0,0
user_80,book_2566,41,433,No,Biography,Few,17,3.0,0
user_81,book_1996,64,378,No,Biography,None,10,4.0,0
user_82,book_150,39,312,Yes,Fantasy,Frequent,11,2.2,1
user_83,book_678,51,348,Yes,Fantasy,Frequent,15,3.8,1
user_84,book_520,67,435,No,Fiction,None,15,2.5,0
user_85,book_2471,59,25,No,Fiction,Frequent,2,3.2,0
user_86,book_51,61,77,No,Fiction,Frequent,8,1.7,0
user_87,book_33,40,572,No,History,Frequent,15,2.4,1
user_88,book_47,19,435,No,Mystery,None,4,1.2,0
user_89,book_609,53,44,No,History,None,5,3.6,0
user_90,book_803,39,269,No,Non-fiction,Few,14,2.2,0
user_91,book_760,51,223,No,Fantasy,Few,1,2.1,0
user_92,book_2996,19,133,No,Sci-fi,None,9,3.9,0
user_93,book_1503,64,572,No,Mystery,Moderate,0,4.1,1
user_94,book_2491,57,150,Yes,Sci-fi,None,16,2.4,1
user_95,book_1755,47,62,No,Fantasy,Moderate,6,4.5,1
user_96,book_691,39,224,No,Sci-fi,Frequent,14,2.7,0
user_97,book_295,53,189,No,Non-fiction,None,6,1.4,0
user_98,book_1140,38,116,No,Sci-fi,Few,15,4.3,0
user_99,book_1947,65,59,No,Romance,Moderate,7,3.3,0
user_100,book_275,57,466,No,Biography,Frequent,18,3.5,1
